"sensitivity(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/20/25, 2:38:20 PM"


29
wavelength,sensitivity
390.000,0.00892070,
400.123,-0.0216754,
410.253,-0.0354776,
420.018,-0.0217969,
430.139,-0.0615532,
439.913,-0.0219184,
450.096,0.107790,
460.243,0.138262,
469.954,0.00843243,
480.115,0.0785991,
490.269,0.128919,
500.038,0.153286,
510.138,0.0585685,
520.269,0.0478197,
530.036,0.0676073,
540.175,0.0782324,
549.909,0.00794416,
560.052,0.0292562,
569.797,-0.0120246,
580.311,-0.00140178,
590.063,-0.0228353,
600.217,0.0274842,
609.944,-0.0611245,
620.108,0.0166757,
630.245,0.0227207,
640.006,0.0257145,
650.170,0.105041,
659.886,-0.0141014,
670.022,-0.0126366,
