"sensitivity(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/20/25, 2:09:48 PM"


31
wavelength,sensitivity
370.193,-0.677121,
380.275,-0.687269,
390.078,-0.699926,
400.152,-0.779149,
410.232,-0.806880,
420.171,-0.853447,
430.112,-0.871130,
440.189,-0.930258,
450.134,-0.921566,
460.236,-0.779752,
470.186,-0.728361,
480.009,-0.579009,
490.118,-0.378168,
500.350,-0.315476,
510.446,-0.216362,
520.262,-0.124781,
530.209,-0.0997632,
540.296,-0.0709791,
550.104,-0.0421922,
560.333,-0.00587418,
570.135,-0.0135080,
580.351,-0.0826846,
590.145,-0.158136,
600.223,-0.209729,
610.156,-0.295229,
620.371,-0.371941,
630.153,-0.547864,
640.073,-0.736347,
650.120,-1.03284,
660.035,-1.26528,
670.081,-1.56805,
